wpa,abierta,wep,ccmp,tkip,banda,canal,senal,radio,resultado
1,0,0,1,0,2.4,6,71,1,1
0,1,0,0,0,6,10,37,2,0
0,1,0,0,0,5,4,20,1,0
1,0,0,1,0,5,5,85,0,1
0,0,1,0,1,2.4,12,98,2,0
0,1,0,0,0,5,13,66,1,0
0,1,0,0,0,2.4,8,30,2,0
1,0,0,0,1,6,5,89,2,0
1,0,0,1,0,6,4,77,1,1
0,0,1,1,0,6,7,43,2,0
1,0,0,0,1,6,5,79,2,0
0,1,0,0,0,2.4,3,77,1,0
1,0,0,0,1,6,6,27,1,0
0,1,0,0,0,6,2,70,0,0
0,1,0,0,0,6,2,34,2,0
0,1,0,0,0,2.4,1,45,2,0
1,0,0,0,1,5,2,93,0,0
0,1,0,0,0,5,9,46,0,0
0,1,0,0,0,6,9,98,2,0
0,1,0,0,0,2.4,8,85,0,0
1,0,0,1,0,5,8,93,0,1
0,1,0,0,0,5,2,71,0,0
1,0,0,1,0,6,1,34,0,1
0,0,1,0,1,5,6,53,1,0
0,1,0,0,0,6,8,52,1,0
0,1,0,0,0,6,8,50,1,0
1,0,0,1,0,2.4,1,87,1,1
0,1,0,0,0,5,5,84,0,0
0,1,0,0,0,2.4,11,93,2,0
1,0,0,1,0,2.4,7,89,1,1
1,0,0,0,1,5,9,48,2,0
0,0,1,1,0,2.4,1,61,0,0
0,1,0,0,0,6,13,68,2,0
1,0,0,0,1,5,13,62,2,0
0,1,0,0,0,5,4,100,0,0
0,1,0,0,0,5,12,91,0,0
0,1,0,0,0,6,10,35,2,0
1,0,0,0,1,6,5,84,2,0
0,1,0,0,0,5,9,48,2,0
0,1,0,0,0,6,4,48,2,0
0,1,0,0,0,5,5,42,1,0
0,0,1,0,1,5,12,20,2,0
0,0,1,1,0,5,3,62,0,0
0,1,0,0,0,5,3,27,1,0
1,0,0,0,1,5,4,27,1,0
0,0,1,1,0,6,7,57,1,0
0,1,0,0,0,2.4,8,92,1,0
0,1,0,0,0,5,2,36,0,0
0,1,0,0,0,6,4,55,0,0
1,0,0,0,1,2.4,13,65,2,0
0,0,1,0,1,2.4,9,96,2,0
0,1,0,0,0,6,11,44,0,0
0,1,0,0,0,2.4,5,53,1,0
0,1,0,0,0,2.4,9,59,1,0
1,0,0,0,1,6,7,100,2,0
0,0,1,1,0,5,13,43,0,0
1,0,0,1,0,2.4,1,31,0,1
1,0,0,0,1,2.4,4,28,1,0
0,1,0,0,0,5,8,63,2,0
0,1,0,0,0,2.4,5,49,1,0
0,1,0,0,0,6,13,57,1,0
0,1,0,0,0,5,3,45,1,0
0,1,0,0,0,6,11,28,0,0
0,1,0,0,0,2.4,7,84,1,0
0,1,0,0,0,2.4,5,21,1,0
1,0,0,1,0,6,13,66,0,1
0,0,1,1,0,2.4,7,97,1,0
0,1,0,0,0,2.4,6,58,0,0
0,1,0,0,0,5,1,37,2,0
0,0,1,0,1,6,5,82,2,0
0,1,0,0,0,2.4,8,81,1,0
0,1,0,0,0,6,10,50,0,0
0,1,0,0,0,2.4,10,46,2,0
0,1,0,0,0,5,4,28,0,0
0,1,0,0,0,6,11,66,0,0
0,1,0,0,0,5,2,70,1,0
1,0,0,0,1,5,6,32,1,0
0,0,1,1,0,5,2,66,1,0
0,0,1,1,0,5,6,83,2,0
0,0,1,0,1,6,2,69,1,0
1,0,0,1,0,6,4,25,0,1
1,0,0,1,0,5,7,37,1,1
1,0,0,1,0,6,1,62,2,1
1,0,0,1,0,6,10,26,0,1
1,0,0,0,1,5,10,39,2,0
1,0,0,1,0,2.4,10,82,0,1
1,0,0,0,1,2.4,13,39,1,0
0,1,0,0,0,5,8,75,2,0
0,1,0,0,0,2.4,13,41,2,0
0,1,0,0,0,6,1,36,0,0
1,0,0,0,1,6,11,63,2,0
0,1,0,0,0,5,8,28,1,0
1,0,0,1,0,5,10,36,0,1
1,0,0,0,1,5,1,80,2,0
0,1,0,0,0,2.4,11,88,0,0
0,1,0,0,0,2.4,3,70,1,0
0,1,0,0,0,2.4,4,28,2,0
1,0,0,1,0,6,10,40,2,1
0,0,1,0,1,5,8,46,2,0
1,0,0,0,1,6,9,32,1,0
0,1,0,0,0,5,12,21,2,0
0,1,0,0,0,5,5,33,1,0
1,0,0,0,1,6,13,53,1,0
1,0,0,1,0,5,12,24,2,1
0,1,0,0,0,2.4,13,81,0,0
1,0,0,0,1,6,8,48,1,0
0,1,0,0,0,5,7,78,2,0
1,0,0,0,1,5,7,40,2,0
0,1,0,0,0,6,5,23,1,0
1,0,0,1,0,6,9,39,2,1
0,1,0,0,0,5,12,77,2,0
0,0,1,0,1,2.4,6,87,1,0
1,0,0,0,1,5,5,100,1,0
0,0,1,0,1,2.4,4,100,1,0
0,1,0,0,0,2.4,11,67,2,0
0,0,1,0,1,6,7,56,0,0
1,0,0,1,0,6,10,27,0,1
0,1,0,0,0,6,10,74,2,0
0,1,0,0,0,6,3,77,0,0
0,1,0,0,0,5,12,75,1,0
1,0,0,1,0,5,13,68,2,1
0,1,0,0,0,6,13,68,0,0
0,1,0,0,0,2.4,10,44,0,0
0,1,0,0,0,5,13,87,0,0
0,1,0,0,0,6,10,36,1,0
0,0,1,0,1,2.4,4,71,1,0
0,1,0,0,0,5,10,65,1,0
0,1,0,0,0,2.4,5,80,0,0
1,0,0,0,1,5,10,36,2,0
0,0,1,1,0,2.4,6,45,1,0
0,1,0,0,0,6,12,71,0,0
0,1,0,0,0,5,8,52,2,0
1,0,0,0,1,5,10,48,2,0
0,0,1,1,0,2.4,13,80,0,0
1,0,0,0,1,6,10,50,2,0
0,1,0,0,0,6,11,77,0,0
0,1,0,0,0,2.4,1,81,2,0
0,0,1,1,0,6,3,91,0,0
0,0,1,0,1,6,10,62,1,0
0,1,0,0,0,6,2,99,1,0
0,1,0,0,0,6,13,53,1,0
0,0,1,1,0,6,4,24,2,0
0,1,0,0,0,2.4,3,61,1,0
0,1,0,0,0,5,12,38,1,0
1,0,0,0,1,6,1,66,1,0
1,0,0,1,0,6,11,58,1,1
0,1,0,0,0,6,7,99,2,0
1,0,0,1,0,2.4,4,69,0,1
1,0,0,0,1,2.4,2,77,0,0
1,0,0,1,0,5,1,90,1,1
0,1,0,0,0,5,3,49,0,0
0,1,0,0,0,5,13,80,2,0
0,1,0,0,0,2.4,8,65,1,0
0,1,0,0,0,2.4,6,94,0,0
0,1,0,0,0,6,1,68,0,0
0,1,0,0,0,5,11,57,1,0
1,0,0,1,0,5,4,32,0,1
1,0,0,1,0,2.4,8,28,0,1
1,0,0,1,0,5,1,59,2,1
0,1,0,0,0,5,10,38,2,0
1,0,0,0,1,6,4,94,0,0
0,1,0,0,0,2.4,8,68,0,0
0,0,1,1,0,6,8,98,1,0
1,0,0,0,1,6,2,61,2,0
0,1,0,0,0,2.4,7,31,2,0
1,0,0,1,0,5,1,61,0,1
0,1,0,0,0,5,12,37,1,0
1,0,0,1,0,2.4,7,73,2,1
1,0,0,1,0,2.4,7,20,1,1
0,1,0,0,0,6,1,38,0,0
0,1,0,0,0,2.4,13,66,0,0
1,0,0,1,0,5,10,54,2,1
0,1,0,0,0,2.4,11,72,1,0
0,1,0,0,0,6,3,33,2,0
0,1,0,0,0,2.4,13,82,2,0
0,1,0,0,0,6,12,92,0,0
0,1,0,0,0,5,6,87,2,0
1,0,0,1,0,5,9,94,0,1
0,0,1,0,1,5,2,52,1,0
0,1,0,0,0,6,12,59,2,0
0,0,1,1,0,2.4,10,50,2,0
1,0,0,1,0,5,12,32,1,1
1,0,0,1,0,6,7,26,2,1
0,0,1,0,1,5,4,76,1,0
0,1,0,0,0,2.4,8,65,2,0
1,0,0,0,1,2.4,3,53,1,0
0,1,0,0,0,2.4,9,55,2,0
1,0,0,1,0,2.4,11,57,0,1
0,1,0,0,0,5,12,93,1,0
1,0,0,0,1,5,10,25,0,0
1,0,0,1,0,6,7,86,0,1
0,1,0,0,0,2.4,13,28,2,0
0,1,0,0,0,6,8,90,2,0
1,0,0,0,1,6,9,26,2,0
0,1,0,0,0,5,1,75,2,0
1,0,0,1,0,6,12,79,2,1
0,1,0,0,0,2.4,4,34,2,0
0,1,0,0,0,5,4,38,0,0
1,0,0,0,1,5,5,44,1,0
0,1,0,0,0,5,2,51,0,0
1,0,0,0,1,2.4,8,57,1,0
1,0,0,1,0,5,9,51,2,1
0,1,0,0,0,6,9,46,1,0
0,0,1,0,1,5,7,74,2,0
0,1,0,0,0,2.4,5,98,1,0
0,1,0,0,0,2.4,8,27,0,0
0,1,0,0,0,6,3,94,0,0
0,1,0,0,0,2.4,8,39,2,0
0,1,0,0,0,2.4,4,70,0,0
0,1,0,0,0,2.4,1,53,1,0
0,1,0,0,0,2.4,9,74,1,0
0,1,0,0,0,2.4,9,92,2,0
0,0,1,0,1,2.4,1,78,0,0
0,1,0,0,0,2.4,6,34,0,0
0,0,1,1,0,2.4,11,66,0,0
0,1,0,0,0,6,10,66,1,0
0,1,0,0,0,6,9,81,2,0
0,1,0,0,0,2.4,8,72,2,0
0,1,0,0,0,2.4,6,37,0,0
0,1,0,0,0,2.4,6,50,2,0
0,1,0,0,0,5,8,52,1,0
0,0,1,1,0,2.4,13,86,1,0
0,1,0,0,0,5,1,26,1,0
0,1,0,0,0,6,7,42,0,0
0,1,0,0,0,6,7,99,1,0
0,0,1,0,1,6,7,72,2,0
0,1,0,0,0,5,2,30,1,0
0,1,0,0,0,6,9,65,0,0
0,1,0,0,0,5,4,25,1,0
1,0,0,0,1,6,12,71,0,0
1,0,0,1,0,6,11,54,1,1
0,0,1,1,0,5,4,52,2,0
1,0,0,0,1,6,6,85,0,0
1,0,0,1,0,5,7,89,0,1
0,1,0,0,0,2.4,7,67,1,0
1,0,0,0,1,6,1,35,1,0
1,0,0,0,1,5,13,46,2,0
0,0,1,1,0,6,5,64,1,0
0,0,1,0,1,2.4,5,30,2,0
0,0,1,0,1,6,4,49,0,0
0,1,0,0,0,2.4,5,81,1,0
0,1,0,0,0,2.4,12,72,1,0
0,1,0,0,0,6,7,83,1,0
1,0,0,1,0,2.4,1,42,1,1
0,1,0,0,0,5,10,31,1,0
0,1,0,0,0,6,8,75,2,0
1,0,0,1,0,5,10,98,2,1
0,1,0,0,0,2.4,3,36,1,0
0,1,0,0,0,2.4,12,55,1,0
1,0,0,1,0,2.4,10,46,2,1
0,0,1,0,1,5,1,73,1,0
0,1,0,0,0,5,1,27,0,0
0,1,0,0,0,2.4,5,22,1,0
0,1,0,0,0,2.4,5,44,0,0
0,1,0,0,0,5,1,81,0,0
0,1,0,0,0,6,8,62,2,0
0,1,0,0,0,5,4,60,1,0
1,0,0,1,0,5,11,43,0,1
0,0,1,1,0,2.4,9,96,2,0
0,0,1,0,1,6,6,47,0,0
1,0,0,1,0,5,6,34,1,1
0,0,1,0,1,2.4,11,91,0,0
0,0,1,1,0,2.4,13,25,1,0
1,0,0,0,1,5,7,74,1,0
1,0,0,1,0,5,8,56,2,1
0,1,0,0,0,6,12,94,1,0
1,0,0,1,0,2.4,6,20,2,1
1,0,0,1,0,5,3,83,2,1
0,1,0,0,0,2.4,2,62,0,0
1,0,0,1,0,6,11,86,1,1
0,1,0,0,0,5,8,23,2,0
0,1,0,0,0,5,7,60,2,0
0,1,0,0,0,5,2,88,1,0
1,0,0,1,0,6,9,79,2,1
0,1,0,0,0,6,12,51,1,0
1,0,0,0,1,6,4,57,0,0
0,1,0,0,0,2.4,12,73,1,0
1,0,0,1,0,5,4,37,2,1
1,0,0,1,0,5,2,64,2,1
1,0,0,1,0,2.4,3,84,1,1
1,0,0,1,0,6,2,81,1,1
0,1,0,0,0,5,7,82,2,0
1,0,0,0,1,5,10,96,2,0
0,1,0,0,0,6,13,89,1,0
0,1,0,0,0,5,8,87,2,0
0,1,0,0,0,5,13,71,2,0
1,0,0,0,1,6,2,45,2,0
1,0,0,0,1,2.4,1,29,1,0
0,0,1,1,0,5,6,73,2,0
0,1,0,0,0,2.4,2,55,0,0
0,1,0,0,0,2.4,3,78,1,0
0,1,0,0,0,5,3,24,2,0
0,1,0,0,0,6,5,72,0,0
0,0,1,0,1,6,8,37,0,0
0,1,0,0,0,6,11,33,1,0
1,0,0,0,1,2.4,6,94,0,0
0,1,0,0,0,2.4,4,65,0,0
0,0,1,1,0,6,2,57,0,0
1,0,0,1,0,5,1,46,0,1
0,1,0,0,0,2.4,13,30,1,0
1,0,0,1,0,2.4,6,53,2,1
0,0,1,1,0,6,1,89,1,0
0,1,0,0,0,2.4,8,43,2,0
0,1,0,0,0,5,8,63,2,0
0,0,1,0,1,5,3,57,2,0
1,0,0,1,0,6,3,77,0,1
0,1,0,0,0,2.4,13,40,2,0
0,1,0,0,0,2.4,9,47,0,0
1,0,0,0,1,6,3,88,1,0
1,0,0,1,0,6,5,57,2,1
0,1,0,0,0,5,10,61,1,0
0,1,0,0,0,2.4,13,40,2,0
1,0,0,0,1,6,8,77,0,0
0,1,0,0,0,5,7,25,0,0
1,0,0,0,1,6,1,65,1,0
0,1,0,0,0,2.4,5,90,0,0
0,1,0,0,0,6,1,32,2,0
0,1,0,0,0,2.4,13,100,0,0
1,0,0,1,0,6,5,65,1,1
0,1,0,0,0,5,4,32,0,0
1,0,0,1,0,5,4,77,2,1
0,1,0,0,0,6,7,30,2,0
0,1,0,0,0,5,8,98,2,0
1,0,0,1,0,5,11,75,1,1
0,1,0,0,0,5,9,77,0,0
1,0,0,0,1,2.4,3,58,1,0
0,1,0,0,0,5,12,42,0,0
0,1,0,0,0,2.4,3,34,2,0
1,0,0,1,0,2.4,2,63,0,1
0,1,0,0,0,6,4,36,1,0
0,1,0,0,0,5,11,36,1,0
1,0,0,1,0,2.4,13,46,0,1
0,1,0,0,0,5,11,70,1,0
0,0,1,1,0,5,4,37,1,0
0,0,1,1,0,2.4,2,84,2,0
1,0,0,0,1,2.4,5,68,1,0
0,1,0,0,0,2.4,13,80,0,0
0,1,0,0,0,5,6,33,1,0
0,1,0,0,0,5,6,75,2,0
1,0,0,1,0,5,13,93,0,1
1,0,0,1,0,6,3,49,2,1
0,1,0,0,0,6,13,72,2,0
1,0,0,1,0,5,13,72,1,1
0,1,0,0,0,5,11,97,0,0
1,0,0,0,1,5,2,41,0,0
0,1,0,0,0,2.4,12,95,1,0
0,1,0,0,0,2.4,10,22,2,0
1,0,0,1,0,5,8,82,2,1
0,0,1,0,1,6,10,26,1,0
1,0,0,0,1,2.4,7,96,1,0
0,1,0,0,0,6,10,69,1,0
0,1,0,0,0,2.4,9,31,2,0
1,0,0,0,1,6,7,39,1,0
0,1,0,0,0,6,3,33,1,0
1,0,0,0,1,2.4,2,94,2,0
1,0,0,0,1,6,13,92,1,0
0,1,0,0,0,2.4,7,22,0,0
0,1,0,0,0,6,6,79,1,0
1,0,0,1,0,2.4,4,85,1,1
